Title,Rating,Price,Specification
Samsung Galaxy S25,8.0,"Rs. 80,999","Octa core (4.47 GHz, Dual Core + 3.5 GHz, Hexa Core),Snapdragon 8 Elite,12 GB RAM,6.2 inches (15.75 cm),FHD+, Dynamic AMOLED 2x,120 Hz Refresh Rate,50 MP + 12 MP + 10 MP Triple Primary Cameras,LED Flash,12 MP Front Camera,4000 mAh,Fast Charging,USB Type-C Port"
OPPO Find X8,4.6,"Rs. 61,499","Octa core (3.63 GHz, Single Core + 3.3 GHz, Tri core + 2.4 GHz, Quad core),MediaTek Dimensity 9400,12 GB RAM,6.59 inches (16.74 cm),FHD+, ProXDR LTPO,120 Hz Refresh Rate,50 MP + 50 MP + 50 MP Triple Primary Cameras,LED Flash,32 MP Front Camera,5630 mAh,Super VOOC Charging,USB Type-C Port"
vivo X200 Pro,4.7,"Rs. 94,999","Octa core (3.626 GHz, Single Core + 3.3 GHz, Tri core + 2.4 GHz, Quad core),MediaTek Dimensity 9400,16 GB RAM,6.78 inches (17.22 cm),FHD+, LTPO AMOLED,120 Hz Refresh Rate,50 MP + 50 MP + 200 MP Triple Primary Cameras,LED Flash,32 MP Front Camera,6000 mAh,Flash Charging,USB Type-C Port"
vivo X200,4.6,"Rs. 65,999","Octa core (3.626 GHz, Single Core + 3.3 GHz, Tri core + 2.4 GHz, Quad core),MediaTek Dimensity 9400,12 GB RAM,6.67 inches (16.94 cm),FHD+, AMOLED,120 Hz Refresh Rate,50 MP + 50 MP + 50 MP Triple Primary Cameras,LED Flash,32 MP Front Camera,5800 mAh,Flash Charging,USB Type-C Port"
Samsung Galaxy S25 Ultra,8.5,"Rs. 129,999","Octa core (4.47 GHz, Dual Core + 3.5 GHz, Hexa Core),Snapdragon 8 Elite,12 GB RAM,6.9 inches (17.53 cm),QHD+, Dynamic AMOLED 2x,120 Hz Refresh Rate,200 + 50 + 10 + 50 MP Quad Primary Cameras,LED Flash,12 MP Front Camera,5000 mAh,Fast Charging,USB Type-C Port"
Apple iPhone 16 Pro Max,4.6,"Rs. 137,900","Hexa Core (4.05 GHz, Dual Core + 2.42 GHz, Quad core),Apple A18 Pro,8 GB RAM,6.9 inches (17.53 cm),FHD+, Super Retina XDR,120 Hz Refresh Rate,48 MP + 48 MP + 12 MP Triple Primary Cameras,Dual-color LED Flash,Retina Flash,4685 mAh,Fast Charging,USB Type-C Port"
OnePlus 13,8.0,"Rs. 69,998","Octa core (4.32 GHz, Dual Core + 3.53 GHz, Hexa Core),Snapdragon 8 Elite,12 GB RAM,6.82 inches (17.32 cm),QHD+, LTPO AMOLED,120 Hz Refresh Rate,50 MP + 50 MP + 50 MP Triple Primary Cameras,LED Flash,32 MP Front Camera,6000 mAh,Super VOOC Charging,USB Type-C Port"
OPPO Find X8 Pro,4.6,,"Octa core (3.63 GHz, Single Core + 3.3 GHz, Tri core + 2.4 GHz, Quad core),MediaTek Dimensity 9400,16 GB RAM,6.78 inches (17.22 cm),FHD+, ProXDR LTPO,120 Hz Refresh Rate,50 + 50 + 50 + 50 MP Quad Primary Cameras,LED Flash,32 MP Front Camera,5910 mAh,Super VOOC Charging,USB Type-C Port"
OnePlus 13R,4.7,"Rs. 42,998","Octa core (3.3 GHz, Single Core + 3.2 GHz, Tri core + 3 GHz, Dual core + 2.3 GHz, Dual core),Snapdragon 8 Gen 3,12 GB RAM,6.78 inches (17.22 cm),FHD+, LTPO AMOLED,120 Hz Refresh Rate,50 MP + 8 MP + 50 MP Triple Primary Cameras,LED Flash,16 MP Front Camera,6000 mAh,Super VOOC Charging,USB Type-C Port"
Motorola Edge 50 Ultra,4.4,"Rs. 52,140","Octa core (3 GHz, Single Core + 2.8 GHz, Quad core + 2 GHz, Tri core),Snapdragon 8s Gen 3,12 GB RAM,6.7 inches (17.02 cm),FHD+, P-OLED,144 Hz Refresh Rate,50 MP + 50 MP + 64 MP Triple Primary Cameras,Dual LED Flash,50 MP Front Camera,4500 mAh,Turbo Power Charging,USB Type-C Port"
Samsung Galaxy S24 FE,4.5,"Rs. 44,999","Deca Core (3.1 GHz, Single Core + 2.9 GHz, Dual core + 2.6 GHz, Tri core + 1.95 GHz, Quad core),Samsung Exynos 2400e,8 GB RAM,6.7 inches (17.02 cm),FHD+, Dynamic AMOLED 2x,120 Hz Refresh Rate,50 MP + 12 MP + 8 MP Triple Primary Cameras,LED Flash,10 MP Front Camera,4700 mAh,Fast Charging,USB Type-C Port"
realme GT 7 Pro,3,"Rs. 54,998","Octa core (4.32 GHz, Dual Core + 3.53 GHz, Hexa Core),Snapdragon 8 Elite,12 GB RAM,6.78 inches (17.22 cm),FHD+, LTPO AMOLED,120 Hz Refresh Rate,50 MP + 8 MP + 50 MP Triple Primary Cameras,Dual LED Flash,Screen flash,5800 mAh,Super VOOC Charging,USB Type-C Port"
vivo V40 Pro,4.5,"Rs. 49,999","Octa core (3.35 GHz, Single Core + 3 GHz, Tri core + 2 GHz, Quad core),MediaTek Dimensity 9200 Plus,8 GB RAM,6.78 inches (17.22 cm),FHD+, AMOLED,120 Hz Refresh Rate,50 MP + 50 MP + 50 MP Triple Primary Cameras,Smart Aura Light,50 MP Front Camera,5500 mAh,Flash Charging,USB Type-C Port"
iQOO 13 5G,5,"Rs. 54,999","Octa core (4.32 GHz, Dual Core + 3.53 GHz, Hexa Core),Snapdragon 8 Elite,12 GB RAM,6.82 inches (17.32 cm),QHD+, LTPO AMOLED,144 Hz Refresh Rate,50 MP + 50 MP + 50 MP Triple Primary Cameras,Ring LED,32 MP Front Camera,6000 mAh,Flash Charging,USB Type-C Port"
vivo T3 Ultra,4.5,,"Octa core (3.35 GHz, Single Core + 3 GHz, Tri core + 2 GHz, Quad core),MediaTek Dimensity 9200 Plus,8 GB RAM,6.78 inches (17.22 cm),FHD+, AMOLED,120 Hz Refresh Rate,50 MP + 8 MP Dual Primary Cameras,Smart Aura Light,50 MP Front Camera,5500 mAh,Flash Charging,USB Type-C Port"
Infinix Zero Flip,4.5,"Rs. 48,500","Octa core (2.6 GHz, Quad Core + 2 GHz, Quad core),MediaTek Dimensity 8020,8 GB RAM,6.9 inches (17.53 cm),FHD, LTPO AMOLED,120 Hz Refresh Rate,50 MP + 50 MP Dual Primary Cameras,Dual LED Flash,LED Flash,4720 mAh,Ultra Charging,USB Type-C Port"
Motorola Razr 50,7.5,"Rs. 54,999","Octa core (2.5 GHz, Quad Core + 2 GHz, Quad core),MediaTek Dimensity 7300X,8 GB RAM,6.9 inches (17.53 cm),FHD, P-OLED,120 Hz Refresh Rate,50 MP + 13 MP Dual Primary Cameras,LED Flash,32 MP Front Camera,4200 mAh,Turbo Power Charging,USB Type-C Port"
POCO X7 Pro,4.3,"Rs. 27,999","Octa core (3.25 GHz, Single Core + 3 GHz, Tri core + 2.1 GHz, Quad core),MediaTek Dimensity 8400 Ultra,8 GB RAM,6.67 inches (16.94 cm),FHD+, AMOLED,120 Hz Refresh Rate,50 MP + 8 MP Dual Primary Cameras,LED Flash,20 MP Front Camera,6550 mAh,Turbo Charging,USB Type-C Port"
Xiaomi Redmi Note 14 Pro+ 5G,4.3,"Rs. 30,999","Octa core (2.5 GHz, Single Core + 2.4 GHz, Tri core + 1.8 GHz, Quad core),Snapdragon 7s Gen 3,8 GB RAM,6.67 inches (16.94 cm),FHD+, AMOLED,120 Hz Refresh Rate,50 MP + 8 MP + 50 MP Triple Primary Cameras,LED Flash,20 MP Front Camera,6200 mAh,Hyper Charging,USB Type-C Port"
OPPO Reno13 Pro,4.4,"Rs. 49,999","Octa core (3.35 GHz, Single Core + 3.2 GHz, Tri core + 2.2 GHz, Quad core),MediaTek Dimensity 8350,12 GB RAM,6.83 inches (17.35 cm),FHD+, AMOLED,120 Hz Refresh Rate,50 MP + 8 MP + 50 MP Triple Primary Cameras,LED Flash,50 MP Front Camera,5800 mAh,Super VOOC Charging,USB Type-C Port"
Motorola Edge 50 Neo,4.4,"Rs. 21,432","Octa core (2.5 GHz, Quad Core + 2 GHz, Quad core),MediaTek Dimensity 7300,8 GB RAM,6.4 inches (16.26 cm),FHD+, P-OLED,120 Hz Refresh Rate,50 MP + 13 MP + 10 MP Triple Primary Cameras,LED Flash,32 MP Front Camera,4310 mAh,Turbo Power Charging,USB Type-C Port"
vivo T3 Pro,4.5,"Rs. 22,999","Octa core (2.63 GHz, Single Core + 2.4 GHz, Tri core + 1.8 GHz, Quad core),Snapdragon 7 Gen 3,8 GB RAM,6.77 inches (17.2 cm),FHD+, AMOLED,120 Hz Refresh Rate,50 MP + 8 MP Dual Primary Cameras,Smart Aura Light,16 MP Front Camera,5500 mAh,Flash Charging,USB Type-C Port"
iQOO Z9s Pro,4.5,"Rs. 22,999","Octa core (2.63 GHz, Single Core + 2.4 GHz, Tri core + 1.8 GHz, Quad core),Snapdragon 7 Gen 3,8 GB RAM,6.77 inches (17.2 cm),FHD+, AMOLED,120 Hz Refresh Rate,50 MP + 8 MP Dual Primary Cameras,Smart Aura Light,16 MP Front Camera,5500 mAh,Flash Charging,USB Type-C Port"
vivo V40e,4.4,"Rs. 26,999","Octa core (2.5 GHz, Quad Core + 2 GHz, Quad core),MediaTek Dimensity 7300,8 GB RAM,6.77 inches (17.2 cm),FHD+, AMOLED,120 Hz Refresh Rate,50 MP + 8 MP Dual Primary Cameras,LED Flash + Aura Light,50 MP Front Camera,5500 mAh,Flash Charging,USB Type-C Port"
POCO X7,4.4,"Rs. 21,999","Octa core (2.5 GHz, Quad Core + 2 GHz, Quad core),MediaTek Dimensity 7300 Ultra,8 GB RAM,6.67 inches (16.94 cm),FHD+, AMOLED,120 Hz Refresh Rate,50 MP + 8 MP + 2 MP Triple Primary Cameras,LED Flash,20 MP Front Camera,5500 mAh,Turbo Charging,USB Type-C Port"
realme 14 Pro,4.4,"Rs. 21,587","Octa core (2.5 GHz, Quad Core + 2 GHz, Quad core),MediaTek Dimensity 7300 Energy,8 GB RAM,6.77 inches (17.2 cm),FHD+, OLED,120 Hz Refresh Rate,50 MP + 2 MP Dual Primary Cameras,Triple LED Flash,16 MP Front Camera,6000 mAh,Super VOOC Charging,USB Type-C Port"
POCO M7 Pro,4.3,"Rs. 14,299","Octa core (2.5 GHz, Dual Core + 2 GHz, Hexa Core),MediaTek Dimensity 7025 Ultra,6 GB RAM,6.67 inches (16.94 cm),FHD+, AMOLED,120 Hz Refresh Rate,50 MP + 2 MP Dual Primary Cameras,LED Flash,20 MP Front Camera,5110 mAh,Fast Charging,USB Type-C Port"
realme 14 Pro Plus,4.5,"Rs. 27,790","Octa core (2.5 GHz, Single Core + 2.4 GHz, Tri core + 1.8 GHz, Quad core),Snapdragon 7s Gen 3,8 GB RAM,6.83 inches (17.35 cm),FHD+, OLED,120 Hz Refresh Rate,50 MP + 8 MP + 50 MP Triple Primary Cameras,Triple LED Flash,32 MP Front Camera,6000 mAh,Super VOOC Charging,USB Type-C Port"
Infinix Hot 50 5G,4.3,"Rs. 10,890","Octa core (2.4 GHz, Dual Core + 2 GHz, Hexa Core),MediaTek Dimensity 6300,4 GB RAM,6.7 inches (17.02 cm),HD+, IPS LCD,120 Hz Refresh Rate,48 MP + 2 MP Triple Primary Cameras,Dual LED Flash,LED Flash,5000 mAh,Fast Charging,USB Type-C Port"
Infinix Smart 9 HD,7.5,"Rs. 6,699","Octa core (2.2 GHz, Quad Core + 1.7 GHz, Quad core),MediaTek Helio G50,3 GB RAM,6.7 inches (17.02 cm),HD+, IPS LCD,90 Hz Refresh Rate,13 MP Dual Primary Cameras,Dual LED Flash,LED Flash,5000 mAh,USB Type-C Port"
